signature;translation;speech part;transcription;synonyms;sentences;groups
make oneself into smb.;заделываться (становиться кем-л.);phrase;;;You don't have to make yourself into someone you're not.;LANGUAGE COURSES
make one's way;"брести; направляться";phrase;;;He made his way down to the staffroom and knocked. | Staggering slightly under their weight, he managed to make his way out of the limelight to the edge of the room, where Ginny was standing next to her new cauldron.;HARRY POTTER AND THE SORCERER'S STONE (book), moving (verbs)
make out;"увидеть; различить; разглядеть";phrase;;distinguish, tell;Harry couldn't make out the look on his face, but he was stuttering worse than ever. Harry strained to catch what they were saying. | His face was almost completely hidden by a long, shaggy mane of hair and a wild, tangled beard, but you could make out his eyes, glinting like black beetles under all the hair.;glance, HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs
make progress;делать успехи;phrase;;;;education, LANGUAGE COURSES
make up;"1) составлять; 2) мириться; 3) выдумывать";phrase;;bear, endure, put up with, stand;Aunt Petunia found a few moldy blankets in the second room and made up a bed for Dudley on the moth-eaten sofa. | It waggled its long ears, making up its tiny mind, then slouched slowly into the room. | Then they visited the Apothecary, which was fascinating enough to make up for its horrible smell, a mixture of bad eggs and rotted cabbages.;HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs
make up for;компенсировать;phrase;;;Even Neville scraped through, his good Herbology mark making up for his abysmal Potions one.;HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs
make up one's mind;принять решение, решиться (на что-л. или сделать что-л.);phrase;;;I can't make up my mind.[Я не могу решиться.];idioms, REPEATING
malady;"болезнь; заболевание, расстройство";noun;ˈmælədɪ;;My grandmother passed away from an unknown fatal malady.;LANGUAGE COURSES, medicine
malice;злоба;noun;ˈmælɪs;spite;Malfoy thrust Ginny's old Transfiguration book at her, his eyes glittering with malice.;HARRY POTTER AND THE CHAMBER OF SECRETS (book)
malicious;злобный, злой;adjective;;;He complained that he'd been receiving malicious telephone calls.;LANGUAGE COURSES, traits
manage;"руководить, управлять, заведовать, править, хозяйствовать; владеть";verb;;administer, control, govern, rule, run;He's not very good at managing people. | His job involved managing large investment funds.;work
mandatory;"обязательный; принудительный";adjective;;compulsory;;
mane;грива;noun;;;His face was almost completely hidden by a long, shaggy mane of hair and a wild, tangled beard, but you could make out his eyes, glinting like black beetles under all the hair. | This was her day, when manes bristled, and fang smote fang or ripped and tore the yielding flesh, all for the possession of her.;animals, WHITE FANG (book)
manger;кормушка, ясли;noun;ˈmeɪnʤə;;However the New Testament mentions neither a manger as we understand it nor an inn when describing the Christmas story. | It has become a popular cultural tradition around Christmas time to hear that Christ was born in a manger because there was no room in the inn.;animals, MYSTAGOGY
mangle;"калечить; наносить увечья";verb;;;One of his legs was bloody and mangled.;HARRY POTTER AND THE SORCERER'S STONE (book)
manor;ист. (феодальное) поместье;noun;ˈmænə;;"House-elves come with big old manors and castles and places like that; you wouldn't catch one in our house.";HARRY POTTER AND THE CHAMBER OF SECRETS (book)
mantelpiece;каминная полка;noun;;;And she pulled a heavy book from the stack on the mantelpiece.;HARRY POTTER AND THE CHAMBER OF SECRETS (book)
manure;"навоз; удобрение";noun;;dung, muck;She didn't give you a lot of horse manure about what a great guy her father was.;THE CATCHER IN THE RYE (book)
map;карта, таблица, план;noun;;chart;;
maroon;"каштановый; темно-бордовый";adjective;;;Smeltings' boys wore maroon tailcoats, orange knickerbockers, and flat straw hats called boaters.;colors, HARRY POTTER AND THE SORCERER'S STONE (book)
marshmallow;spongy confection made of gelatin and sugar and corn syrup and dusted with powdered sugar;noun;;;They sat by the hour eating anything they could spear on a toasting fork - bread, English muffins, marshmallows.;HARRY POTTER AND THE SORCERER'S STONE (book), meal
Martian;марсианин;noun;ˈmɑːrʃən;;She thought that they were being invaded by Martians.;LANGUAGE COURSES
martyr;"мученик; мученица; страдалец; страдалица";noun;ˈmɑːtə;;She fought against racism all her life and died a martyr to the cause.;INTERNET, religion, violence
martyr;"мучить; подвергать гонениям";verb;ˈmɑːtə;torment, torture;I'm not a hero, but those who were martyred are the heroes, he said.;INTERNET, violence
mash;"разминать; раздавливать";verb;;;mashed potatoes[картофельное пюре];THE CATCHER IN THE RYE (book)
mass slaughter;"(массовое) убийство, резня, бойня; избиение";noun;ˈslɔːtə;;;LANGUAGE COURSES, violence
matinee;"дневной спектакль; утренник";noun;;;It's Sunday, but there's always one or two matinees going on Sunday.;THE CATCHER IN THE RYE (book)
matter;"1) вещество, материал; 2) филос. материя; 3) сущность; содержание; 4) вопрос, дело";noun;;;Similarly you may explain the order in the universe by saying that all things, even the souls of men, are leaves inevitably unfolding on a utterly unconscious tree - the blind destiny of matter.;MYSTAGOGY
mature;"зрелый; спелый";adjective;;;I like a mature person, if that's what you mean. | The mark of the immature man is that he wants to die nobly for a cause, while the mark of the mature man is that he wants to live humbly for one.;appearance
maunder;бормотать, говорить бессвязно;verb;;chatter, gibber, mumble, mutter;;sounds
mauve;розовато-лиловый;adjective;məʋv;;Madam Malkin was a squat, smiling witch dressed all in mauve.;colors, HARRY POTTER AND THE SORCERER'S STONE (book)
mean;"1) намереваться; 2) иметь в виду, подразумевать; 3) значить, означать";verb;;intend;"""Go to your cupboard - I mean, your bedroom,"" he wheezed at Harry. | I like a mature person, if that's what you mean. | I mean he didn't hit the ceiling or anything. | I mean he was all stooped over, and he had very terrible posture.";THE CATCHER IN THE RYE (book)
mean;"1) средний; серединный; 2) плохой; скупой; 3) подлый; нечестный";adjective;;tight-fisted;Both of them were thickset and looked extremely mean. | Every time you mention some guy that's strictly a bastard - very mean, or very conceited and all - and when you mention it to the girl, she'll tell you he has an inferiority complex.;THE CATCHER IN THE RYE (book), traits
mechanically;машинально;adverb;;;He grasped it and devoured it mechanically.;REPEATING
meddle;"заниматься, интересоваться чем-л.; вмешиваться, совать свой нос";verb;medl;horn in;It was a bit late to repair the damage, but Harry swore to himself not to meddle in things that weren't his business from now on.;HARRY POTTER AND THE SORCERER'S STONE (book)
medieval;"1) средневековый; 2) отставший от жизни, безнадёжно устаревший; старомодный";adjective;ˌmedɪˈiːv(ə)l;;From the latest avant-garde groups to the most obscure medieval church music, there is always somebody ready and willing to record even the most esoteric piece of music and upload it onto the Net.;LANGUAGE COURSES
melancholy;"меланхоличный; грустный, мрачный; подавленный";adjective;ˈmelənˌkɒlɪ;blue, cheerless, dreary, gloomy, glum, mournful, sombre;She used to spend melancholy autumn days with a book near the fireplace.;traits
melt;"1) таять; 2) плавить(ся); 3) смягчать(ся)";verb;;thaw;;
mend;"чинить, ремонтировать; исправлять, улучшать";verb;;fix, repair;;
mere;"простой; чистый; сущий, явный";adjective;;pure, sheer;;
merit;"1) заслуга; 2) достоинство, добродетель (any admirable quality or attribute) ";noun;;;He was rewarded according to his merits.;REPEATING
merry;"веселый, радостный; оживленный";adjective;;buoyant, cheerful, glad, happy, jolly, joyful;;traits
midair;воздух, пространство над поверхностью земли;noun;ˌmɪdˈeər;;A bundle of walking sticks was floating in midair ahead of them, and as Percy took a step toward them they started throwing themselves at him. | Ron was leaning out of the back window of an old turquoise car, which was parked in midair.;HARRY POTTER AND THE SORCERER'S STONE (book)
mild;"1) умеренный; 2) неострый";adjective;;moderate, temperate;The meal was delicious and mild.;LANGUAGE COURSES
mimic;"1) пародировать; передразнивать (to copy the way in which a particular person usually speaks and moves, usually in order to make people laugh); 2) симулировать, притворяться";verb;;;The ComboBox can mimic traditional option drop-down boxes or can be configured to use remote datasets via data store.;INFORMATION TECHNOLOGIES
mind;возражать, иметь что-л. против;verb;;contradict, object, protest;;
mingle;смешивать(ся);verb;;;The smell of ripe fruit mingled with the laughter of women in their huts.;REPEATING
minister;"1) посланник; министр; 2) священник";noun;;;If you want to know the truth, I can't even stand ministers.;religion, THE CATCHER IN THE RYE (book)
mistletoe;омела (в Англии традиционное украшение дома на Рождество);noun;ˈmɪsltəʊ;;The hall looked spectacular. Festoons of holly and mistletoe hung all around the walls.;HARRY POTTER AND THE SORCERER'S STONE (book), plants
misuse;"1) неправильно употреблять; неправильно применять; 2) злоупотреблять";verb;;;She was accused of misusing company funds.;HARRY POTTER AND THE CHAMBER OF SECRETS (book)
mitt;митенка;noun;;;I wrote about my brother Allie's baseball mitt.;THE CATCHER IN THE RYE (book)
mixer;"1) миксер; 2) общительный человек";noun;;;to be a good mixer[быть общительным человеком];odd people, THE CATCHER IN THE RYE (book)
moan;"стонать, охать; жаловаться, ворчать";verb;;groan;moan and groan[разохаться] | Within seconds, the whole class was standing on their stools while Neville, who had been drenched in the potion when the cauldron collapsed, moaned in pain as angry red boils sprang up all over his arms and legs.;sounds
mob;"1) толпа; сборище (a disorderly crowd of people); 2) шайка; банда";noun;;crowd;;
moccasin;мокасин (обувь из мягкой кожи на плоской подошве);noun;ˈmɔkəsɪn;;He shook his fist angrily at the gleaming eyes and began securely to prop his moccasins before the fire.;clothes, REPEATING
mock;"1) поддельный, фальшивый, фиктивный; суррогатный; 2) притворный; мнимый; ложный";adjective;;phony;One company has recently produced a revision mock exam question service for delivery via SMS.;LANGUAGE COURSES
moderate;"1) умеренный, сдержанный, воздержанный, выдержанный; 2) небольшой, средний";adjective;ˈmɔderɪt;mild, temperate;I'm a moderate smoker.;
modest;скромный, сдержанный;adjective;;humble;He gets a very modest annual salary of $10000.;traits
moist;сырой, влажный;adjective;;damp, humid, soaked, soggy, wet;;
mold;"1) отливать в форму; лепить; формировать, создавать; 2) покрываться плесенью, плесневеть";verb;;;Since 1888 we have been molding boys into splendid, clear-thinking young men.;THE CATCHER IN THE RYE (book)
moldy;заплесневелый;adjective;;stale;Aunt Petunia found a few moldy blankets in the second room and made up a bed for Dudley on the moth-eaten sofa.;HARRY POTTER AND THE SORCERER'S STONE (book)
monger;"продавец; торговец";noun;;;;holidays, LANGUAGE COURSES
mongrel;"дворняжка; помесь, полукровка";noun;ˈmʌŋgrəl;;;LANGUAGE COURSES
moor;"участок, поросший вереском; торфянистая местность, торфяник (an open area of hills covered with rough grass)";noun;mɔː;;London was soon far behind them, replaced by neat green fields that gave way in turn to wide, purplish moors, a great city alive with cars like multicolored ants, villages with tiny toy churches.[Лондон очень скоро оказался далеко позади и сменился зелеными полями, уступившими, в свою очередь, место широким красноватым болотам, затем большому городу, кишевшему разноцветными муравьями-автомобильчиками, потом деревням с игрушечными церквями.];HARRY POTTER AND THE CHAMBER OF SECRETS (book)
mop;швабра;noun;;;He shooed the shocked Masons back into the dining room, promised Harry he would flay him to within an inch of his life when the Masons had left, and handed him a mop.;HARRY POTTER AND THE CHAMBER OF SECRETS (book)
moron;"слабоумный; идиот";noun;;;All morons hate it when you call them a moron. | I didn't know then that the goddam hotel was full of perverts and morons.;odd people, THE CATCHER IN THE RYE (book)
mortar;"1) (воен.) миномёт; 2) известковый раствор; строительный раствор";noun;ˈmɔːtə;;A mortar shell can be launched thousands of feet, which makes it an indirect fire weapon. | Mortar is a mixture of cement, sand and water used for bonding bricks and stones.;arms, REPEATING
mortgage;"заклад; ипотека";noun;ˈmɔːgɪʤ;;They took out a $40 000 mortgage to buy the house.[Они взяли ипотечный кредит $40 000 для покупки дома.];LANGUAGE COURSES
mossy;"мшистый; покрытый мхом";adjective;;;They walked past a mossy tree stump.;HARRY POTTER AND THE SORCERER'S STONE (book), plants
mountain ash;рябина;noun;;;We picked our way through small groves of red-berried mountain ash and larger stands of oak.;plants, REPEATING
mourn;"оплакивать; скорбеть, горевать";verb;;lament;;
mournful;"печальный, мрачный; скорбный, траурный (very sad)";adjective;;blue, cheerless, dreary, gloomy, glum, melancholy, sombre;He had a mournful expression.;appearance
mouth-watering;аппетитный (describes food that looks as if it will taste good);adjective;;;On their last evening, Mrs. Weasley conjured up a sumptuous dinner that included all of Harry's favorite things, ending with a mouth-watering treacle pudding.[В последний вечер миссис Уизли устроила грандиозный обед: она сварила, нажарила, испекла все любимые кушанья Гарри. На сладкое был пудинг из патоки - пальчики оближешь!];HARRY POTTER AND THE CHAMBER OF SECRETS (book), meal
move house;"сменить квартиру; переезжать на другую квартиру";phrase;;;We're moving house next week.;LANGUAGE COURSES
mow;"косить; жать";verb;məʊ;;They raked them: they mowed them like wheat.;REPEATING
muck;"навоз; дерьмо";noun;;dung, manure;It's convenient for development environments where you'd like to expose your server-side methods to the client and not have to worry about all of the muck with Ajax connection handling.;INFORMATION TECHNOLOGIES
muddy;"1) грязный, запачканный; 2) мутный, неясный, тусклый";adjective;;dingy, dirty;;appearance
mumble;бормотать, бурчать;verb;;maunder, mutter;"""You have these,"" Harry mumbled to her, tipping the books into the cauldron.";sounds
mundane;"1) обычный, приземлённый (very ordinary and therefore not interesting); 2) tedious; repetitive and boring";adjective;;;Mundane matters such as paying bills and shopping for food do not interest her.;LANGUAGE COURSES
murder;убивать, совершать убийство;verb;;assassinate, kill, slay;;violence
murmur;"шептать; бормотать; шелестеть";verb;;whisper;;sounds
mutter;бормотать, бурчать;verb;;maunder, mumble;"""He's lost his marbles,"" Ron muttered in Harry's ear. | She whipped out her wand, waved it, muttered something, and sent a jet of the same bluebell flames she had used on Snape at the plant.";sounds
mutual;"1) взаимный, обоюдный; 2) общий, совместный, принадлежащий обеим сторонам";adjective;ˈmjuːʧuəl;;Lynn and Phil met through a mutual friend.;LANGUAGE COURSES, relationship
myriad;бессчетный, бесчисленный, неисчислимый;adjective;ˈmɪrɪəd;;But to their nostrils came the myriad smells of an Indian camp, carrying a story that was largely incomprehensible to One Eye, but every detail of which the she-wolf knew.;WHITE FANG (book)
nag;болеть, ныть (remind or urge constantly);verb;;;"""I know,"" Ron snapped. ""Don't nag."" | Yet something had been nagging at the back of his mind all day.";HARRY POTTER AND THE SORCERER'S STONE (book), medicine
naked;"голый, нагой; обнажённый";adjective;;bare, nude;;appearance
narrate;повествовать, рассказывать;verb;;relate, tell;;
narrow-minded;ограниченный, недалёкий;adjective;;;In the next scene which is interesting for our purpose, we are challenged by deeply narrow-minded people from the country side.;LANGUAGE COURSES, traits
nasty;отвратительный, противный, мерзкий, скверный;adjective;;filthy, foul;The Dursleys often spoke about Harry like this, as though he wasn't there - or rather, as though he was something very nasty that couldn't understand them, like a slug.;disgust
natural;"1) подходящий для чего-л. человек; 2) одарённый человек, самородок";noun;;;The boy's a natural. I've never seen anything like it. Was that your first time on a broomstick, Potter?;HARRY POTTER AND THE SORCERER'S STONE (book), odd people
naturally;конечно, как и следовало ожидать, естественно;adverb;ˈnæʧ(ə)r(ə)lɪ;;A keen detective would naturally find him.;REPEATING
naughty;"непослушный, капризный, шаловливый; озорной";adjective;ˈnɔːtɪ;;Girls, you're being very naughty.[Девочки, вы очень плохо себя ведёте.];education, LANGUAGE COURSES, traits, самые сложные слова
nauseate;"1) чувствовать тошноту, вызывать тошноту; 2) чувствовать отвращение, вызывать отвращение";verb;ˈnɔːzɪˌeɪt;disgust, sicken;;disgust
nearsighted;близорукий;adjective;;;"""Strange how nearsighted being invisible can make you,"" said Dumbledore, and Harry was relieved to see that he was smiling.";HARRY POTTER AND THE SORCERER'S STONE (book)
neat;"чистоплотный; опрятный; аккуратный";adjective;;refined;Sleek and shiny, with a mahogany handle, it had a long tail of neat, straight twigs and Nimbus Two Thousand written in gold near the top.;THE CATCHER IN THE RYE (book), traits
necking;поцелуи и объятия;noun;;;It was the only time old Jane and I ever got close to necking, even.;THE CATCHER IN THE RYE (book)
negligible;"незначительный; неважный";adjective;ˈneglɪʤəbl;;Every time you run the algorithm, it will take a different amount of time, but the chance that the time will not be linearithmic is so small as to be negligible.;INFORMATION TECHNOLOGIES
nerd;"1) зануда; ботаник, ботан; 2) компьютерный фанат";noun;;;So... the people I'll be working with, what're they like? - Standard nerds!;IT CROWD, odd people
neurosis;невроз;noun;njuəˈrəʊsɪs;;If you want my opinion, I think she's suffering from some form of neurosis.;LANGUAGE COURSES, medicine
newlywed;"новобрачный; новобрачная";noun;ˈnjuːlɪwed;;The hotel has a special discount rate for newlyweds.;relationship
niche;"1) ниша ; 2) рыночная ниша (незанятый сегмент рынка товаров или услуг)";noun;nɪʃ;;I'm not a fan of Mrs. Palin, but after her campaign efforts during the General Election I came to firmly believe her real niche is talk radio.;LANGUAGE COURSES, work
nine-to-five;имеющий стандартный рабочий график с девяти до пяти;adjective;;;"""I think if you wanted a nine-to-five job, Ming, you could get one,"" he said.";LANGUAGE COURSES, work
nip;"1) ущипнуть, щипать; 2) кусать, тяпнуть";verb;;pinch;;
nonchalant;"беззаботный; беспечный; равнодушный; безразличный";adjective;;indifferent, listless;I was getting more and more nonchalant as it went along.;THE CATCHER IN THE RYE (book), traits, самые сложные слова
non-smoking;"1) некурящий (о человеке); 2) для некурящих (о местах в кафе, о купе в поезде и т. п.)";adjective;;;;LANGUAGE COURSES
not have a clue;не иметь представления (о чем либо);phrase;;not have the slightest idea;"I haven't got a clue about Algebra.[У меня нет никакого представления о алгебре.] | John Horgan wanted to use this headline 20 years ago, but the editor didn't let him. Now that editor is gone, so Horgan let the cat out of the bag: ""Pssst! Don't tell the creationists, but scientists don't have a clue how life began.""";education, LANGUAGE COURSES
not have the slightest idea;не иметь ни малейшего представления;phrase;;not have a clue;He hasn't got the slightest idea about this.;education, LANGUAGE COURSES
notion;идея, представление, понятие, знание;noun;;;Before we delve into specifics of multithreaded programming in managed code, we should spend a few minutes talking about the general notion of threading. | The notion of a stream is the lowest you can go in terms of .NET's managed code I/O system.;INFORMATION TECHNOLOGIES
novice;"1) начинающий, новичок; новобранец; 2) послушник; послушница";noun;ˈnɔvɪs;;"The monastery's elders, however, did not forsake the headstrong novice in his foolishness; they continued to keep an eye on him and to pray for him.";MYSTAGOGY, religion
nucleus;"ядро; центр";noun;ˈnjuːklɪəs;;We'll start our journey with taking a look at the ContainerLayout, which is the nucleus of the entire layout hierarchy.;INFORMATION TECHNOLOGIES
nude;голый, нагой, обнажённый;adjective;;bare, naked;;appearance
nuisance;"надоедливый человек, зануда; неудобство, помеха (something or someone that annoys you or causes trouble for you)";noun;ˈnjuːs(ə)n(t)s;;Go away, you are a nuisance!;odd people, REPEATING
nun;монахиня;noun;;;While I was eating my eggs, these two nuns with suitcases and all - I guessed they were moving to another convent or something and were waiting for a train - came in and sat down next to me at the counter.;religion, THE CATCHER IN THE RYE (book)
nursery nurse;воспитательница в детском саду или яслях;noun;;;A nursery nurse spoke to Rocky and I spoke to the older boy.;LANGUAGE COURSES, work
nursing home;дом престарелых;noun;;;Is it common for elderly people to live in nursing homes in your country?;LANGUAGE COURSES
nut;"1) орех; 2) чудак; сумасброд";noun;;screwball;;odd people
nuts;(slang) свихнувшийся, чокнутый, спятивший;adjective;;insane;Anyway, they fell in love right away, on account of they're both so nuts about Charles Dickens and all, and he helps her run her publishing business. | You're nuts. I swear to God.;THE CATCHER IN THE RYE (book), traits
oaf;"болван, тупица, олух; неотёсанный, неуклюжий человек";noun;əʊf;duffer;I suppose you think you'll be enjoying yourself with that oaf?;HARRY POTTER AND THE SORCERER'S STONE (book), odd people
obedient;послушный, покорный;adjective;;docile;;traits
obey;подчиняться, слушаться, повиноваться;verb;;abide by, comply;;law
object;возражать, протестовать;verb;ˈɒbʤekt;contradict, mind, protest;;
objective;"1) цель; стремление; 2) задача";noun;;aim, end, goal, purpose, target;;
obligation;"обязанность, долг; обязательство";noun;;duty;The obligation to be in a particular place at a particular time, working as part of a team towards a common goal, gives us a sense of structure and purpose that we find difficult to impose on ourselves.;
oblige;"обязывать; связывать (обязательством, клятвой)";verb;;;He was not obliged to wait long.;REPEATING
obliterate;"вычёркивать, стирать; удалять; (полностью) уничтожать; ликвидировать";verb;əˈblɪt(ə)reɪt;;He obliterated traces of the work.[Он ликвидировал следы работы.];REPEATING
obnoxious;"неприятный, несносный, отвратительный; надоедливый (very unpleasant or rude)";adjective;əbˈnɔkʃəs;;That explains everything! She likes the kind of big obnoxious guy who eats Loaders.;IT CROWD, traits
obscure;"1) неизвестный; малоизвестный (not known to many people); 2) непонятный; невразумительный, неясный (not clear and difficult to understand or see)";adjective;;vague;From the latest avant-garde groups to the most obscure medieval church music, there is always somebody ready and willing to record even the most esoteric piece of music and upload it onto the Net.;LANGUAGE COURSES
observe;"1) наблюдать, следить (за чем-л.); замечать, обращать внимание (на что-л.); 2) праздновать, отмечать; 3) соблюдать (законы, правила, обычаи)";verb;;;In the various regions of India, Hindus worship different gods and observe different religious festivals. | People must observe the law. Nobody should be an exception.;LANGUAGE COURSES, law
obstacle;помеха, преграда, препятствие;noun;ˈɔbstək(ə)l;drawback;"He sprang forward with short, stiff bounds, craning his neck as if to see over obstacles. | In his notes for such a manual, he jotted down the following ""convert pitfalls"", or what he called ""obstacles in the Orthodox mission today"".";REPEATING
obtain;"получать; доставать, добывать, приобретать";verb;;acquire, gain, get;;
obtrusive;навязчивый;adjective;;;One waitor in the restaurant was too obtrusive.;LANGUAGE COURSES
obvious;явный, очевидный;adjective;;apparent, evident;Harry and Ron headed upstairs, smothering their laughter at Malfoy's obvious rage and confusion. | Ultimately, I would like to set up my own restaurant business but I obviously need to get more experience first.;
occasional;случающийся время от времени, иногда;adjective;;;This will often make them feel special but the downside is that they may suffer occasional pangs of jealousy and loneliness when friends discuss their family life. | Though he followed her, he was still dubious, and he could not forbear an occasional halt in order more carefully to study the warning.;WHITE FANG (book)
occupation;"занятие, дело; род занятий, профессия";noun;;pursuit;In the space marked 'occupation' she wrote 'police officer'.;LANGUAGE COURSES, work
ochre;цвет охры, бледно-жёлтый, коричневато-жёлтый цвет;adjective;ˈəʊkə;;Then Mma Ramotswe set to the task of painting, and she had soon completed the outside in ochre and the inside in white.;colors, LANGUAGE COURSES
odd;"1) нечетный; 2) странный, необычный, эксцентричный, чудной";adjective;;peculiar, queer, singular, strange;His broom was old and some of the twigs stuck out at odd angles.;traits
offence;"1) проступок, нарушение чего-л.; 2) преступление, правонарушение; 3) обида, оскорбление";noun;əˈfens;;The result is a lot of fines for minor offences.;LANGUAGE COURSES
offender;"1) обидчик; оскорбитель; 2) преступник; правонарушитель";noun;;criminal, perpetrator;;violence
offhand;"импровизированно, без подготовки; экспромтом; немедленно, тотчас";adverb;ˌɒfˈhænd;off the top of one's head;I couldn't give them the figures offhand.;LANGUAGE COURSES
off the top of one's head;сходу, навскидку (from the knowledge you have in your memory);adverb;;offhand;I cannot think of any good examples off the top of my head, but give me a couple of hours and I'm sure I could come up with something.;idioms, LANGUAGE COURSES
of late;недавно;adverb;;lately, recently;His play of late has been very good, and he has the speed to stretch teams.;LANGUAGE COURSES
old;старики, пожилые люди;noun;;;Do young people generally respect the old in your country?;LANGUAGE COURSES
omen;"знак, знамение, предзнаменование; примета";noun;ˈəʊmən;;But leaving Neville lying motionless on the floor didn't feel like a very good omen.;HARRY POTTER AND THE SORCERER'S STONE (book)
one of these days;когда-нибудь (some time in the near future);adverb;;;You're going to get into serious trouble one of these days.;LANGUAGE COURSES
only;"1) единственный; 2) одинокий";adjective;;lone, single, sole, solitary;It was the only time old Jane and I ever got close to necking, even. | Researchers found that only children were more interested in intellectual, cognitive pursuits than were later-born children. | That may be why only children are more likely to show interest in academic pursuits rather than physical or outdoor activities. | The first-born is an only child until the second child comes along. | The only thing old Phoebe liked was when Hamlet patted this dog on the head.;LANGUAGE COURSES, relationship
on purpose;"с целью; нарочно";adverb;;;He wouldn't believe they were lost, was sure they were trying to break into it on purpose, and was threatening to lock them in the dungeons when they were rescued by Professor Quirrell, who was passing.;HARRY POTTER AND THE SORCERER'S STONE (book)
on the other hand;с другой стороны;phrase;;;On the other hand there are clear benefits for children, particularly if their connection is Internet enabled.;LANGUAGE COURSES
open-minded;"1) с широким кругозором, широких взглядов ; 2) восприимчивый (к новым идеям, веяниям)";adjective;;;Doctors these days tend to be more open-minded about alternative medicine.;education, LANGUAGE COURSES
ornate;богато украшенный;adjective;ɔːˈneɪt;;It was a magnificent mirror, as high as the ceiling, with an ornate gold frame, standing on two clawed feet. There was an inscription carved around the top.;HARRY POTTER AND THE SORCERER'S STONE (book), самые сложные слова
orphan;сирота;noun;;;;THE CATCHER IN THE RYE (book)
ounce;"унция; капля, чуточка";noun;aʊns;;A lot of the greatest wizards haven't got an ounce of logic, they'd be stuck in here forever.;HARRY POTTER AND THE SORCERER'S STONE (book)
outfox;перехитрить;verb;;beat, outsmart, outwit;;fraud
outlook;точка зрения, взгляд, мировоззрение, мироощущение;noun;ˈaʊtluk;;He has a fairly positive outlook on life.;LANGUAGE COURSES
outsmart;перехитрить;verb;;beat, outfox, outwit;;fraud
outward;наружный, внешний;adjective;ˈaʊtwəd;;It was Blythe, who walked with the air of a rich man, but whose outward appearance was very shabby.;appearance, REPEATING
outwit;перехитрить;verb;;beat, outfox, outsmart;;fraud
overcome;побороть, побеждать, брать верх;verb;;conquer, defeat, vanquish;;battle
oversimplify;"слишком упрощать; понимать слишком упрощённо";verb;;;Despite making some sensible points, to my mind his argument is wildly oversimplified in saying that the old days were better.;LANGUAGE COURSES
overtake;"догнать, наверстать; обогнать";verb;;;The idea of overtaking Slytherin in the house championship was wonderful, no one had done it for seven years, but would they be allowed to, with such a biased referee?;HARRY POTTER AND THE SORCERER'S STONE (book)
overwhelmed;"ошеломленный; потрясенный";adjective;;;I'm overwhelmed ... thank you so much!;holidays, LANGUAGE COURSES
pacific;"мирный, спокойный; миролюбивый";adjective;;;;
pagan;языческий;adjective;ˈpeɪgən;;The Easter egg has both pagan and Christian origins.;LANGUAGE COURSES, religion
pally;дружеский, дружественный, приятельский;adjective;ˈpælɪ;;It's like they're pally-wally when there's a problem with their printer but once it's fixed... They toss us away like yesterday's jam!;IT CROWD, relationship
palomino;темно-желтая лошадь с белой гривой (a horse that is gold in colour with a white mane and tail);noun;ˌpæləˈmiːnəʊ;;"A centaur was standing over him, not Ronan or Bane; this one looked younger; he had white blond hair and a palomino body.";animals, HARRY POTTER AND THE SORCERER'S STONE (book)
pangs;страдания, душевная боль, угрызения совести;noun;;;This will often make them feel special but the downside is that they may suffer occasional pangs of jealousy and loneliness when friends discuss their family life.;LANGUAGE COURSES, medicine
pansy;женоподобный;adjective;;;He was one of those guys that think they're being a pansy if they don't break around forty of your fingers when they shake hands with you.;appearance, THE CATCHER IN THE RYE (book), самые сложные слова
pant;бежать или идти часто и тяжело дыша;verb;pænt;;Jill and Eustace, now both very hot and very grubby from going along bent almost double under the laurels, panted up to the wall.;moving (verbs), THE SILVER CHAIR (book) 
panther;пантера;noun;;;;animals, THE CATCHER IN THE RYE (book)
parchment;пергамент;noun;;;The envelope was thick and heavy, made of yellowish parchment, and the address was written in emerald-green ink.;HARRY POTTER AND THE SORCERER'S STONE (book)
pardon;"1) извинять, прощать; 2) миловать; оставлять без наказания";verb;;;Georgian President Mikhail Saakashvili has issued a decree pardoning 201 prisoners due to the Dormition of Virgin Mary, which Orthodox believers marked on Sunday.;MYSTAGOGY
parenthesis;круглые, простые скобки;noun;pəˈrenθəsɪs;;An arithmetic expression is either a number, or a left parenthesis followed by an arithmetic expression followed by an operator followed by another arithmetic expression followed by a right parenthesis.;INFORMATION TECHNOLOGIES
particularly;особенно, особым образом;adverb;;in particular;On the other hand there are clear benefits for children, particularly if their connection is Internet enabled.;LANGUAGE COURSES
parting;"расставание, разлука; отъезд";noun;;;He thoughtfully kissed her hand before parting.;REPEATING
pass away;"скончаться; умереть";phrase;;die, perish;My grandmother passed away from an unknown fatal malady.;LANGUAGE COURSES, medicine, phrasal verbs
pass out;терять сознание;phrase;;faint;I got sort of dizzy and I thought I was going to pass out or something again. | When I was coming out of the can, right before I got to the door, I sort of passed out.;medicine, phrasal verbs, THE CATCHER IN THE RYE (book), самые сложные слова
pasty;"1) паштет; 2) пирог";noun;;;"""Starving,"" said Harry, taking a large bite out of a pumpkin pasty.";HARRY POTTER AND THE SORCERER'S STONE (book), meal
